scorer,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000
individuals,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,single,single,single,single,single,single
bodyparts,nose,nose,nose,Rear,Rear,Rear,Lear,Lear,Lear,headbase,headbase,headbase,spine,spine,spine,tailbase,tailbase,tailbase,anteriorC,anteriorC,anteriorC,posteriorC,posteriorC,posteriorC
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
82,300.219,665.068,1.0,298.608,630.528,1.0,326.083,644.187,1.0,319.348,625.643,1.0,322.713,595.454,1.0,323.674,555.061,1.0,,,,,,
83,298.925,665.068,1.0,298.703,630.326,1.0,326.023,645.091,1.0,319.348,625.701,1.0,322.713,595.454,1.0,323.735,555.041,1.0,,,,,,
84,294.855,664.934,1.0,298.978,630.326,1.0,325.996,645.55,1.0,319.588,625.727,1.0,322.698,595.431,1.0,323.735,555.04,1.0,,,,,,
85,294.855,664.637,1.0,298.978,630.326,1.0,325.996,645.55,1.0,319.588,625.727,1.0,322.676,595.343,1.0,323.674,555.04,1.0,,,,,,
86,294.855,664.312,1.0,298.978,630.323,1.0,325.996,645.55,1.0,319.588,625.701,1.0,322.513,595.227,1.0,323.676,555.04,1.0,,,,,,
87,294.855,664.312,1.0,298.895,630.15,1.0,326.115,645.108,1.0,319.588,625.639,1.0,322.426,595.227,1.0,323.806,555.081,1.0,,,,,,
88,294.818,664.312,1.0,298.864,630.042,1.0,326.115,644.699,1.0,319.588,625.27,1.0,322.426,595.227,1.0,323.806,555.302,1.0,,,,,,
89,294.927,662.296,1.0,298.214,629.841,1.0,326.115,643.982,1.0,319.518,625.139,1.0,322.426,595.172,1.0,323.856,555.302,1.0,,,,,,
90,294.927,662.162,1.0,298.214,629.541,1.0,326.007,643.403,1.0,319.518,625.139,1.0,322.423,595.314,1.0,324.111,555.298,1.0,,,,,,
91,292.991,661.871,0.9459999799728394,298.214,629.074,1.0,325.987,642.72,1.0,319.518,624.939,1.0,322.426,595.314,1.0,324.139,555.298,1.0,,,,,,
92,292.991,661.668,0.9539999961853027,298.32,629.018,1.0,325.973,642.72,1.0,319.615,624.939,1.0,322.664,595.189,1.0,324.181,555.298,1.0,,,,,,
93,301.514,661.668,1.0,298.376,629.018,1.0,325.851,642.626,1.0,319.615,624.929,1.0,322.664,595.083,1.0,324.219,555.298,1.0,,,,,,
94,301.506,661.509,1.0,298.427,629.018,1.0,325.696,642.605,1.0,319.615,625.054,1.0,322.653,594.959,1.0,324.433,555.298,1.0,,,,,,
95,301.506,661.509,0.9819999933242798,298.427,628.821,1.0,325.696,642.605,1.0,319.615,625.026,1.0,322.67,594.886,1.0,324.41,555.109,1.0,,,,,,
96,301.506,661.509,0.8930000066757202,298.376,628.796,1.0,325.829,642.446,1.0,319.855,625.026,1.0,322.67,594.874,1.0,324.41,555.109,1.0,,,,,,
